"","Parent.Name","lhs","Major","Minor"
"942","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","SREBF2","Metabolism","Metabolism of lipids"
"943","Synthesis of substrates in N-glycan biosythesis","ST3GAL1","Metabolism of proteins","Post-translational protein modification"
"944","Keratan sulfate/keratin metabolism","ST3GAL1","Metabolism","Metabolism of carbohydrates"
"945","O-linked glycosylation of mucins","ST3GAL1","Metabolism of proteins","Post-translational protein modification"
"946","Myogenesis","TCF4","Developmental Biology","Myogenesis"
"947","ER to Golgi Anterograde Transport","TGFA","Metabolism of proteins","Membrane Trafficking"
"948","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","TGFA","Gene expression (Transcription)","RNA Polymerase II Transcription"
"949","Transcriptional regulation by RUNX3","TGFB1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"950","Loss of Function of TGFBR2 in Cancer","TGFB1","Disease","Diseases of signal transduction"
"951","Extracellular matrix organization","TGFB1","Extracellular matrix organization","Extracellular matrix organization"
"952","Signaling by Interleukins","TGFB1","Immune System","Cytokine Signaling in Immune system"
"953","Host Interactions with Influenza Factors","TGFB1","Disease","Infectious disease"
"954","Non-integrin membrane-ECM interactions","TGFB1","Extracellular matrix organization","Non-integrin membrane-ECM interactions"
"955","Signaling by TGF-beta Receptor Complex","TGFB1","Signal Transduction","Signaling by TGF-beta family members"
"956","Developmental Biology","TGFB1","Developmental Biology","Developmental Biology"
"957","Deubiquitination","TGFB1","Metabolism of proteins","Post-translational protein modification"
"958","Loss of Function of SMAD2/3 in Cancer","TGFB1","Disease","Diseases of signal transduction"
"959","Loss of Function of TGFBR1 in Cancer","TGFB1","Disease","Diseases of signal transduction"
"960","TGF-beta receptor signaling activates SMADs","TGFB1","Signal Transduction","Signaling by TGF-beta family members"
"961","Hemostasis","TGFB1","Hemostasis","Hemostasis"
"962","Elastic fibre formation","TGFB1","Extracellular matrix organization","Elastic fibre formation"
"963","Response to elevated platelet cytosolic Ca2+","TGFB1","Hemostasis","Platelet activation, signaling and aggregation"
"964","Response to elevated platelet cytosolic Ca2+","TGFB2","Hemostasis","Platelet activation, signaling and aggregation"
"965","Elastic fibre formation","TGFB2","Extracellular matrix organization","Elastic fibre formation"
"966","Extracellular matrix organization","TGFB2","Extracellular matrix organization","Extracellular matrix organization"
"967","TGF-beta receptor signaling activates SMADs","TGFBR2","Signal Transduction","Signaling by TGF-beta family members"
"968","Deubiquitination","TGFBR2","Metabolism of proteins","Post-translational protein modification"
"969","Loss of Function of TGFBR2 in Cancer","TGFBR2","Disease","Diseases of signal transduction"
"970","Loss of Function of SMAD2/3 in Cancer","TGFBR2","Disease","Diseases of signal transduction"
"971","Signaling by TGF-beta Receptor Complex","TGFBR2","Signal Transduction","Signaling by TGF-beta family members"
"972","Loss of Function of TGFBR1 in Cancer","TGFBR2","Disease","Diseases of signal transduction"
"973","Regulation of gap junction activity","TJP1","Vesicle-mediated transport","Membrane Trafficking"
"974","Apoptotic cleavage of cellular proteins","TJP1","Programmed Cell Death","Apoptosis"
"975","Signal Transduction","TJP1","Signal Transduction","Signal Transduction"
"976","Transcriptional regulation by RUNX1","TJP1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"977","Toll Like Receptor TLR6:TLR2 Cascade","TLR2","Immune System","Innate Immune System"
"978","Toll Like Receptor 4 (TLR4) Cascade","TLR2","Immune System","Innate Immune System"
"979","Defensins","TLR2","Immune System","Innate Immune System"
"980","Innate Immune System","TLR2","Immune System","Innate Immune System"
"981","Antigen processing-Cross presentation","TLR2","Immune System","Adaptive Immune System"
"982","Toll Like Receptor 2 (TLR2) Cascade","TLR2","Immune System","Innate Immune System"
"983","Toll Like Receptor TLR1:TLR2 Cascade","TLR2","Immune System","Innate Immune System"
"984","Toll-Like Receptors Cascades","TLR2","Immune System","Innate Immune System"
"985","Diseases associated with the TLR signaling cascade","TLR2","Disease","Diseases of Immune System"
"986","Toll Like Receptor TLR6:TLR2 Cascade","TLR4","Immune System","Innate Immune System"
"987","TRIF(TICAM1)-mediated TLR4 signaling","TLR4","Immune System","Innate Immune System"
"988","Toll-Like Receptors Cascades","TLR4","Immune System","Innate Immune System"
"989","Toll Like Receptor 4 (TLR4) Cascade","TLR4","Immune System","Innate Immune System"
"990","Toll Like Receptor TLR1:TLR2 Cascade","TLR4","Immune System","Innate Immune System"
"991","Antigen processing-Cross presentation","TLR4","Immune System","Adaptive Immune System"
"992","Diseases associated with the TLR signaling cascade","TLR4","Disease","Diseases of Immune System"
"993","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","TLR4","Immune System","Innate Immune System"
"994","Caspase activation via extrinsic apoptotic signalling pathway","TLR4","Programmed Cell Death","Apoptosis"
"995","Toll Like Receptor 3 (TLR3) Cascade","TLR4","Immune System","Innate Immune System"
"996","TNF signaling","TNF","Signal Transduction","Death Receptor Signalling"
"997","Cytokine Signaling in Immune system","TNF","Immune System","Cytokine Signaling in Immune system"
"998","Signaling by Interleukins","TNF","Immune System","Cytokine Signaling in Immune system"
"999","Developmental Biology","TNF","Developmental Biology","Developmental Biology"
"1000","Death Receptor Signalling","TNF","Signal Transduction","Death Receptor Signalling"
"1001","TNF signaling","TNFAIP3","Signal Transduction","Death Receptor Signalling"
"1002","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","TNFAIP3","Immune System","Innate Immune System"
"1003","DDX58/IFIH1-mediated induction of interferon-alpha/beta","TNFAIP3","Immune System","Innate Immune System"
"1004","Deubiquitination","TNFAIP3","Metabolism of proteins","Post-translational protein modification"
"1005","Ligand-dependent caspase activation","TNFRSF10B","Programmed Cell Death","Apoptosis"
"1006","Regulated Necrosis","TNFRSF10B","Programmed Cell Death","Regulated Necrosis"
"1007","Hemostasis","TNFRSF10B","Hemostasis","Hemostasis"
"1008","Death Receptor Signalling","TNFRSF10B","Signal Transduction","Death Receptor Signalling"
"1009","Caspase activation via extrinsic apoptotic signalling pathway","TNFRSF10B","Programmed Cell Death","Apoptosis"
"1010","Regulation of necroptotic cell death","TNFRSF10B","Programmed Cell Death","Regulated Necrosis"
"1011","TP53 Regulates Transcription of Cell Death Genes","TNFRSF10B","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1012","TNFR2 non-canonical NF-kB pathway","TNFRSF25","Immune System","Cytokine Signaling in Immune system"
"1013","TNFR2 non-canonical NF-kB pathway","TNFSF9","Immune System","Cytokine Signaling in Immune system"
"1014","Hemostasis","TP53","Hemostasis","Hemostasis"
"1015","G2/M Checkpoints","TP53","Cell Cycle","Cell Cycle Checkpoints"
"1016","G2/M Transition","TP53","Cell Cycle","Cell Cycle, Mitotic"
"1017","TP53 Regulates Transcription of Cell Cycle Genes","TP53","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1018","Transcriptional regulation by RUNX3","TP53","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1019","Activation of BH3-only proteins","TP53","Programmed Cell Death","Apoptosis"
"1020","Cell Cycle Checkpoints","TP53","Cell Cycle","Cell Cycle Checkpoints"
"1021","Cellular Senescence","TP53","Cellular responses to external stimuli","Cellular responses to stress"
"1022","Pre-NOTCH Expression and Processing","TP53","Signal Transduction","Signaling by NOTCH"
"1023","Regulation of TP53 Activity","TP53","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1024","Regulation of TP53 Expression and Degradation","TP53","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1025","Stabilization of p53","TP53","Cell Cycle","Cell Cycle Checkpoints"
"1026","Deubiquitination","TP53","Metabolism of proteins","Post-translational protein modification"
"1027","Chaperonin-mediated protein folding","TP53","Metabolism of proteins","Protein folding"
"1028","TP53 Regulates Transcription of Cell Death Genes","TP53","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1029","Signaling by Interleukins","TP53","Immune System","Cytokine Signaling in Immune system"
"1030","Transcriptional Regulation by TP53","TP53","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1031","SUMO E3 ligases SUMOylate target proteins","TP53","Metabolism of proteins","Post-translational protein modification"
"1032","p53-Dependent G1 DNA Damage Response","TP53","Cell Cycle","Cell Cycle Checkpoints"
"1033","Regulation of TP53 Activity through Acetylation","TP53","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1034","PTEN Regulation","TP53","Signal Transduction","Intracellular signaling by second messengers"
"1035","DNA Double Strand Break Response","TP53","DNA Repair","DNA Double-Strand Break Repair"
"1036","Transcriptional activation of p53 responsive genes","TP53","Cell Cycle","Cell Cycle Checkpoints"
"1037","DNA Damage/Telomere Stress Induced Senescence","TP53","Cellular responses to external stimuli","Cellular responses to stress"
"1038","Transcriptional Regulation by TP53","TP63","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1039","TP53 Regulates Transcription of Cell Death Genes","TP63","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1040","Regulation of TP53 Activity","TP63","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1041","Activation of BH3-only proteins","TP63","Programmed Cell Death","Apoptosis"
"1042","Regulation of TP53 Activity","TPX2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1043","G2/M Transition","TPX2","Cell Cycle","Cell Cycle, Mitotic"
"1044","PI3K Cascade","TRIB3","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"1045","CD28 co-stimulation","TRIB3","Immune System","Adaptive Immune System"
"1046","PIP3 activates AKT signaling","TRIB3","Signal Transduction","Intracellular signaling by second messengers"
"1047","Intracellular signaling by second messengers","TRIB3","Signal Transduction","Intracellular signaling by second messengers"
"1048","VEGFA-VEGFR2 Pathway","TRIB3","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"1049","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","TRIB3","Metabolism","Metabolism of lipids"
"1050","Adaptive Immune System","TUBA1A","Immune System","Adaptive Immune System"
"1051","G2/M Transition","TUBA1A","Cell Cycle","Cell Cycle, Mitotic"
"1052","Centrosome maturation","TUBA1A","Cell Cycle","Cell Cycle, Mitotic"
"1053","L1CAM interactions","TUBA1A","Developmental Biology","Axon guidance"
"1054","Loss of proteins required for interphase microtubule organization from the centrosome","TUBA1A","Cell Cycle","Cell Cycle, Mitotic"
"1055","Membrane Trafficking","TUBA1A","Vesicle-mediated transport","Membrane Trafficking"
"1056","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding","TUBA1A","Metabolism of proteins","Protein folding"
"1057","Factors involved in megakaryocyte development and platelet production","TUBA1A","Hemostasis","Factors involved in megakaryocyte development and platelet production"
"1058","Signaling by Hedgehog","TUBA1A","Signal Transduction","Signaling by Hedgehog"
"1059","Cellular responses to stress","TUBA1A","Cellular responses to external stimuli","Cellular responses to stress"
"1060","Golgi-to-ER retrograde transport","TUBA1A","Vesicle-mediated transport","Membrane Trafficking"
"1061","Protein folding","TUBA1A","Metabolism of proteins","Protein folding"
"1062","ER to Golgi Anterograde Transport","TUBA1A","Metabolism of proteins","Membrane Trafficking"
"1063","Organelle biogenesis and maintenance","TUBA1A","Organelle biogenesis and maintenance","Organelle biogenesis and maintenance"
"1064","Gap junction trafficking","TUBA1A","Vesicle-mediated transport","Membrane Trafficking"
"1065","Mitotic Prometaphase","TUBA1A","Cell Cycle","Cell Cycle, Mitotic"
"1066","Cilium Assembly","TUBA1A","Organelle biogenesis and maintenance","Cilium Assembly"
"1067","RHO GTPase Effectors","TUBA1A","Signal Transduction","Signaling by Rho GTPases"
"1068","Post-translational protein modification","TUBA1A","Metabolism of proteins","Post-translational protein modification"
"1069","Transport of connexons to the plasma membrane","TUBA1A","Vesicle-mediated transport","Membrane Trafficking"
"1070","M Phase","TUBA1A","Cell Cycle","Cell Cycle, Mitotic"
"1071","Loss of proteins required for interphase microtubule organization from the centrosome","TUBA1A","Cell Cycle","Cell Cycle, Mitotic"
"1072","Mitotic Anaphase","TUBA1A","Cell Cycle","Cell Cycle, Mitotic"
"1073","L1CAM interactions","TUBB2A","Developmental Biology","Axon guidance"
"1074","Mitotic Prometaphase","TUBB2A","Cell Cycle","Cell Cycle, Mitotic"
"1075","Organelle biogenesis and maintenance","TUBB2A","Organelle biogenesis and maintenance","Organelle biogenesis and maintenance"
"1076","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding","TUBB2A","Metabolism of proteins","Protein folding"
"1077","Adaptive Immune System","TUBB2A","Immune System","Adaptive Immune System"
"1078","Mitotic Anaphase","TUBB2A","Cell Cycle","Cell Cycle, Mitotic"
"1079","G2/M Transition","TUBB2A","Cell Cycle","Cell Cycle, Mitotic"
"1080","RHO GTPase Effectors","TUBB2A","Signal Transduction","Signaling by Rho GTPases"
"1081","Transport of connexons to the plasma membrane","TUBB2A","Vesicle-mediated transport","Membrane Trafficking"
"1082","Factors involved in megakaryocyte development and platelet production","TUBB2A","Hemostasis","Factors involved in megakaryocyte development and platelet production"
"1083","Cilium Assembly","TUBB2A","Organelle biogenesis and maintenance","Cilium Assembly"
"1084","Golgi-to-ER retrograde transport","TUBB2A","Vesicle-mediated transport","Membrane Trafficking"
"1085","Protein folding","TUBB2A","Metabolism of proteins","Protein folding"
"1086","M Phase","TUBB2A","Cell Cycle","Cell Cycle, Mitotic"
"1087","Gap junction trafficking","TUBB2A","Vesicle-mediated transport","Membrane Trafficking"
"1088","ER to Golgi Anterograde Transport","TUBB2A","Metabolism of proteins","Membrane Trafficking"
"1089","Post-translational protein modification","TUBB2A","Metabolism of proteins","Post-translational protein modification"
"1090","Membrane Trafficking","TUBB2A","Vesicle-mediated transport","Membrane Trafficking"
"1091","Signaling by Hedgehog","TUBB2A","Signal Transduction","Signaling by Hedgehog"
"1092","Cellular responses to stress","TUBB2A","Cellular responses to external stimuli","Cellular responses to stress"
"1093","Protein folding","TUBB3","Metabolism of proteins","Protein folding"
"1094","Cilium Assembly","TUBB3","Organelle biogenesis and maintenance","Cilium Assembly"
"1095","Adaptive Immune System","TUBB3","Immune System","Adaptive Immune System"
"1096","Transport of connexons to the plasma membrane","TUBB3","Vesicle-mediated transport","Membrane Trafficking"
"1097","Signaling by Hedgehog","TUBB3","Signal Transduction","Signaling by Hedgehog"
"1098","M Phase","TUBB3","Cell Cycle","Cell Cycle, Mitotic"
"1099","Gap junction trafficking","TUBB3","Vesicle-mediated transport","Membrane Trafficking"
"1100","L1CAM interactions","TUBB3","Developmental Biology","Axon guidance"
"1101","Mitotic Prometaphase","TUBB3","Cell Cycle","Cell Cycle, Mitotic"
"1102","Golgi-to-ER retrograde transport","TUBB3","Vesicle-mediated transport","Membrane Trafficking"
"1103","Cellular responses to stress","TUBB3","Cellular responses to external stimuli","Cellular responses to stress"
"1104","Post-translational protein modification","TUBB3","Metabolism of proteins","Post-translational protein modification"
"1105","Mitotic Anaphase","TUBB3","Cell Cycle","Cell Cycle, Mitotic"
"1106","Factors involved in megakaryocyte development and platelet production","TUBB3","Hemostasis","Factors involved in megakaryocyte development and platelet production"
"1107","Organelle biogenesis and maintenance","TUBB3","Organelle biogenesis and maintenance","Organelle biogenesis and maintenance"
"1108","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding","TUBB3","Metabolism of proteins","Protein folding"
"1109","RHO GTPase Effectors","TUBB3","Signal Transduction","Signaling by Rho GTPases"
"1110","Membrane Trafficking","TUBB3","Vesicle-mediated transport","Membrane Trafficking"
"1111","ER to Golgi Anterograde Transport","TUBB3","Metabolism of proteins","Membrane Trafficking"
"1112","G2/M Transition","TUBB3","Cell Cycle","Cell Cycle, Mitotic"
"1113","Signaling by Interleukins","TWIST1","Immune System","Cytokine Signaling in Immune system"
"1114","Transcriptional regulation by RUNX2","TWIST1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1115","Generic Transcription Pathway","TWIST1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1116","Inflammasomes","TXNIP","Immune System","Innate Immune System"
"1117","Epigenetic regulation of gene expression","UHRF1","Gene expression (Transcription)","Epigenetic regulation of gene expression"
"1118","Nucleobase catabolism","UPP1","Metabolism","Metabolism of nucleotides"
"1119","Nucleotide salvage","UPP1","Metabolism","Metabolism of nucleotides"
"1120","Fc epsilon receptor (FCERI) signaling","VAV3","Immune System","Innate Immune System"
"1121","VEGFA-VEGFR2 Pathway","VAV3","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"1122","Fcgamma receptor (FCGR) dependent phagocytosis","VAV3","Immune System","Innate Immune System"
"1123","EPH-Ephrin signaling","VAV3","Developmental Biology","Axon guidance"
"1124","DAP12 interactions","VAV3","Immune System","Innate Immune System"
"1125","GPCR downstream signalling","VAV3","Signal Transduction","Signaling by GPCR"
"1126","Platelet activation, signaling and aggregation","VAV3","Hemostasis","Platelet activation, signaling and aggregation"
"1127","Cell death signalling via NRAGE, NRIF and NADE","VAV3","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"1128","Signaling by VEGF","VAV3","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"1129","Signaling by Rho GTPases","VAV3","Signal Transduction","Signaling by Rho GTPases"
"1130","Adaptive Immune System","VCAM1","Immune System","Adaptive Immune System"
"1131","Extracellular matrix organization","VCAM1","Extracellular matrix organization","Extracellular matrix organization"
"1132","Signaling by Interleukins","VCAM1","Immune System","Cytokine Signaling in Immune system"
"1133","Interferon Signaling","VCAM1","Immune System","Cytokine Signaling in Immune system"
"1134","Apoptotic cleavage of cellular proteins","VIM","Programmed Cell Death","Apoptosis"
"1135","Muscle contraction","VIM","Muscle contraction","Muscle contraction"
"1136","Signaling by Interleukins","VIM","Immune System","Cytokine Signaling in Immune system"
"1137","Axon guidance","VLDLR","Developmental Biology","Axon guidance"
"1138","Plasma lipoprotein clearance","VLDLR","Transport of small molecules","Plasma lipoprotein assembly, remodeling, and clearance"
"1139","tRNA Aminoacylation","WARS","Metabolism of proteins","Translation"
"1140","Global Genome Nucleotide Excision Repair (GG-NER)","XRCC1","DNA Repair","Nucleotide Excision Repair"
"1141","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","XRCC1","DNA Repair","Nucleotide Excision Repair"
"1142","Resolution of Abasic Sites (AP sites)","XRCC1","DNA Repair","Base Excision Repair"
"1143","Homology Directed Repair","XRCC1","DNA Repair","DNA Double-Strand Break Repair"
"1144","Regulation of mRNA stability by proteins that bind AU-rich elements","ZFP36","Metabolism of RNA","Regulation of mRNA stability by proteins that bind AU-rich elements"
"1145","Costimulation by the CD28 family","HLA.DRA","Immune System","Adaptive Immune System"
"1146","TCR signaling","HLA.DRA","Immune System","Adaptive Immune System"
"1147","Interferon Signaling","HLA.DRA","Immune System","Cytokine Signaling in Immune system"
"1148","Adaptive Immune System","HLA.DRA","Immune System","Adaptive Immune System"
"1149","Generic Transcription Pathway","NR1I2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1150","Circadian Clock","NR3C1","Circadian Clock","Circadian Clock"
"1151","Signaling by PTK6","NR3C1","Signal Transduction","Signaling by Non-Receptor Tyrosine Kinases"
"1152","Transcriptional regulation by RUNX2","NR3C1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1153","Generic Transcription Pathway","NR3C1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1154","Cellular responses to stress","NR3C1","Cellular responses to external stimuli","Cellular responses to stress"
"1155","Pyruvate metabolism","PPARD","Metabolism","Pyruvate metabolism"
"1156","Signaling by Nuclear Receptors","PPARD","Signal Transduction","Signaling by Nuclear Receptors"
"1157","Generic Transcription Pathway","PPARD","Gene expression (Transcription)","RNA Polymerase II Transcription"
"1158","Fatty acid metabolism","PPARD","Metabolism","Metabolism of lipids"
